Video Title,Speaker(s),Organisation,Event / Location,Type,YouTube ID
World Plone Day: Brasília; Brazil,PloneGov-BR team,PloneGov-BR / Senado Federal,Brazil (Brasília),Full stream,kdxefYmiIvM
Plone Hands On: Customize your site theme through the web with Volto!,David Ichim;Victor Fernández de Alba,kitconcept,Online,Talk,in6Qz3oWbao
Mão na Massa: Começando um projeto com Plone 6.1,PloneGov-BR community,PloneGov-BR,Brazil (Brasília),Talk,x7QX9tQxEBc
I've tried more than 200 CMS's and Plone is still the best!,Alexander Loechel;Astrid Beyers,LMU;Juizi,Online,Talk,wDmj38OOG1Y
Collabora Online integration into Plone and Quaive,Guido Stevens,Quaive,Online,Talk,6A7MyogkGcE
Plone 6 -sivuston muokkaaminen - demo,Rikupekka Oksanen,University of Jyväskylä,Online,Talk,4_zVe5w_fnU
Click less; do more - save time with Plone content rules,Karel Calitz;Astrid Beyers,Juizi,Online,Talk,WUCz7fXbpdQ
Plone and Google Summer of Code 2025,Eric Brehault,Nuclia,Online,Talk,w4AYKTwiAok
Love Story: When Designers Meet GitHub Actions,,iMio,Online,Talk,qwI2UL8zuZc
Teaser trailer from South Africa for World Plone Day 2025,,,Online,Teaser,UzBwfVuoCDE
An external to internal Plone support love story,Alex (Juizi);Talya (IRR),Juizi / IRR,Online,Talk,NlNFCyGwEMc
Deploy Cookieplone Based Projects With GitLab CI/CD,Mikel Larreategi,CodeSyntax,Online,Talk,7d1KQSXpodY
Volto Bootstrap Theme,CodeSyntax team,CodeSyntax,Online,Talk,IlcJgU5p0jo
Select user widget feature in Volto,Teodor Voicu,Eau de Web,Online,Talk,jAlwtcNyzH0
Volto block style: Start customizing your site through the web,Dobricean Ionut,Eau de Web,Online,Talk,RSohX6Q2ioY
Dynamic Vocabulary Based on Context in Plone,Oprea Ana Maria,Eau de Web,Online,Talk,jzVXgPKlsFI
Construyendo una Intranet en Plone 6 / Building an Intranet with Plone 6,Marc Vicente,eCityclic,Online,Talk,a7I6SKHeXvI
Baseball; Farming; and Smarthomes: When Volto Meets 3rd-Party APIs,Brian Davis,Plone Foundation (community volunteer),Online,Talk,h8kBq0VCuCc
Teaser World Plone Day 2025 #OpenSource,,Plone Foundation,Online,Teaser,jDW4mOJioMs
Plone Conference 2025 - Tervetuloa!,,,Online,Announcement,R2uSvmctHtE
Teaser from Brazil for World Plone Day 2025,,PloneGov-BR,Brazil,Teaser,MlgTdrkaP88
Teaser from Brazil for World Plone Day 2025,,PloneGov-BR,Brazil,Teaser,m3o8ury0ZPU
Teaser from Brazil for World Plone Day 2025,,PloneGov-BR,Brazil,Teaser,aOsKeUCnen0
Welcome to World Plone Day 2025!,,Plone Foundation,Online,Welcome,faf6Pg_WAm4
Plone Community Teams and How to Be Part of It,Astrid Beyers;Brian Davis;Rikupekka Oksanen,Juizi;University of Jyväskylä;Plone Foundation,Online,Talk,qbPWHPbV8Po
Axolote Sprint Teaser,,,Online,Teaser,0A7XN-wEygU
Tailwind CSS and Plone,Victor Fernández de Alba,kitconcept,Online,Talk,sqPtMBCgbOY
Codename Seven - Sneak Peek to the Successor of Volto,Victor Fernández de Alba,kitconcept,Online,Talk,vc6li2NtNj8
The Plone Newsroom Episode 22 - Back Again,,Plone Foundation,Online,Newsroom,dWEtMoHJbRI
Mxmake - an opinionated way to use make for development and deployment on Python projects,Jens Klein,Klein & Partner KG,Online,Talk,ocSZI4iF8cc
Exploring the Power of Plone: How Out-of-the-Box Features Simplify Content Management,Plone JP / CMS Communications,CMS Communications,Online,Talk,oZYtTu1Ckdo
Vibe Coding Plone Live at GitHub Codespaces,Asko Soukka,University of Jyväskylä,Online,Talk,HR4w6Ecjcsk
Plone Hands On: Creating a new Plone project,Victor Fernández de Alba,kitconcept,Online,Talk,cMJOBrfZGe4
Vibe Coding Plone Live at GitHub Codespaces (duplicate),Asko Soukka,University of Jyväskylä,Online,Duplicate,HR4w6Ecjcsk
AMA with David Glick; Plone core developer,David Glick,Plone Foundation,Online,Talk,_688wq-TwJ4
World Plone Day: Brasília; Brazil (duplicate),PloneGov-BR team,PloneGov-BR / Senado Federal,Brazil (Brasília),Duplicate,kdxefYmiIvM
Exploring the Power of Plone: How Out-of-the-Box Features Simplify Content Management (duplicate),Plone JP / CMS Communications,CMS Communications,Online,Duplicate,oZYtTu1Ckdo
Triple D: Documentation Driven Development - A Panel Discussion,Steve McMahon;Ujjwal (last name TBC),Independent / Plone Foundation,Online,Talk,eu7ypPPKZCg
Plone Distributions; the right way,Érico Andrei,Simples Consultoria,Online,Talk,W0gDKhuIXPk
I valori dell'Open Source - il punto di vista della Rete Italiana Open Source - WPD 2025 Italia,Valentina Del Prete,RIOS (Rete Italiana Open Source),Italy (Bologna),Talk,HKlRhSpgT4Q
Plone & PWA: il caso Lignano Sabbiadoro - WPD2025 Italia,Omar Aleotti,RedTurtle,Italy (Bologna),Talk,KW5YDe801TQ
ER.GO e la digital communication: Plone per il rinnovo dell'immagine aziendale - WPD 2025 Italia,Giulia Nieddu,Er.GO,Italy (Bologna),Talk,KrrJdLBsuVI
Il nuovo portale dell'Azienda USL della Romagna - WPD 2025 Italia,Angelo Croatti,AUSL Romagna,Italy (Bologna),Talk,LDuhLrAsozQ
Governare il sito; migliorare l'organizzazione: il caso del Comune di Trento - WPD 2025 Italia,Erika Cavallo,Giallocobalto,Italy (Bologna),Talk,GcgxH9stLmM
AUSL Ferrara - uno dei primi siti conformi al modello ASL di Designers Italia - WPD 2025 Italia,Nicola Marighelli,RedTurtle,Italy (Bologna),Talk,rQdFpqs8MN4
Nuovi siti; nuova esperienza: la trasformazione digitale dei corsi UniMC - WPD 2025 Italia,Simone Carletti;Paolo Roganti,Università di Macerata,Italy (Bologna),Talk,_I7exPV9ERM
Volto e straVolto - World Plone Day 2025 Italia,Tiziana Flamminj,Regione Emilia-Romagna,Italy (Bologna),Talk,sEHL32dJ9io
World Plone Day 2025 Italia - Recap,,,Italy (Bologna),Recap,8nkzDBFKgq0
