Year,Label,Total_Commits,Contributors_Count
2015,kitconcept,2261,5
2015,Independent,1698,129
2015,vangheem,1673,1
2015,py76,1662,1
2015,esteele,1014,1
2015,freitag,795,1
2015,starzel,693,1
2015,university-jyvaskyla,667,1
2015,syslab,560,5
2015,kleinundpartner,506,1
2015,nuclia,423,2
2015,imio,174,3
2015,agitator,64,1
2015,eau-de-web,61,2
2015,polyester,60,1
2015,frapell,54,1
2015,derico,48,1
2015,4teamwork,31,5
2015,tkimnguyen,25,1
2016,kitconcept,3089,7
2016,vangheem,2440,1
2016,py76,1726,1
2016,Independent,1517,98
2016,esteele,1090,1
2016,nuclia,973,2
2016,freitag,888,1
2016,syslab,830,5
2016,starzel,751,1
2016,university-jyvaskyla,681,1
2016,kleinundpartner,534,1
2016,codesyntax,232,2
2016,imio,189,3
2016,polyester,88,1
2016,agitator,73,1
2016,derico,56,1
2016,redturtle,52,2
2016,frapell,46,1
2016,4teamwork,38,5
2016,eau-de-web,36,2
2016,tkimnguyen,25,1
2017,kitconcept,2774,8
2017,py76,2299,1
2017,vangheem,2134,1
2017,Independent,1608,89
2017,esteele,1316,1
2017,nuclia,1215,2
2017,freitag,1070,1
2017,syslab,1022,4
2017,starzel,891,1
2017,university-jyvaskyla,807,1
2017,kleinundpartner,572,1
2017,codesyntax,266,2
2017,imio,247,3
2017,agitator,125,1
2017,polyester,108,1
2017,derico,86,1
2017,redturtle,71,3
2017,frapell,69,1
2017,eau-de-web,56,2
2017,4teamwork,47,5
2017,tkimnguyen,33,1
2018,kitconcept,3086,10
2018,py76,2408,1
2018,vangheem,2256,1
2018,Independent,1723,98
2018,nuclia,1457,2
2018,esteele,1348,1
2018,freitag,1196,1
2018,syslab,1162,4
2018,starzel,1037,1
2018,university-jyvaskyla,860,1
2018,kleinundpartner,649,1
2018,codesyntax,325,2
2018,imio,295,3
2018,agitator,174,1
2018,polyester,133,1
2018,derico,120,1
2018,redturtle,112,4
2018,frapell,91,1
2018,eau-de-web,80,3
2018,4teamwork,64,5
2018,tkimnguyen,45,1
2019,kitconcept,3259,11
2019,py76,2544,1
2019,vangheem,2384,1
2019,Independent,1894,104
2019,nuclia,1567,2
2019,esteele,1390,1
2019,freitag,1291,1
2019,syslab,1256,4
2019,starzel,1144,1
2019,university-jyvaskyla,912,1
2019,kleinundpartner,728,1
2019,codesyntax,401,2
2019,imio,341,3
2019,agitator,222,1
2019,polyester,167,1
2019,derico,154,1
2019,redturtle,146,5
2019,frapell,115,1
2019,eau-de-web,104,4
2019,4teamwork,81,5
2019,tkimnguyen,58,1
2020,kitconcept,3487,12
2020,py76,2685,1
2020,vangheem,2512,1
2020,Independent,2078,114
2020,nuclia,1694,2
2020,esteele,1439,1
2020,freitag,1394,1
2020,syslab,1365,4
2020,starzel,1253,1
2020,university-jyvaskyla,976,1
2020,kleinundpartner,816,1
2020,codesyntax,487,2
2020,imio,391,3
2020,agitator,275,1
2020,polyester,205,1
2020,derico,191,1
2020,redturtle,183,6
2020,frapell,142,1
2020,eau-de-web,132,5
2020,4teamwork,101,5
2020,tkimnguyen,74,1
2021,kitconcept,2033,11
2021,py76,1084,1
2021,syslab,587,4
2021,kleinundpartner,528,1
2021,Independent,378,76
2021,agitator,278,1
2021,eau-de-web,257,5
2021,derico,243,1
2021,rohberg,207,1
2021,stevepiercy,196,1
2021,kombinat,178,1
2021,redturtle,173,6
2021,nuclia,128,3
2021,esteele,119,1
2021,starzel,109,1
2021,dataflake,38,1
2021,codesyntax,38,2
2021,university-hospital-dresden,36,1
2021,iskra,35,3
2021,rpatterson,25,1
2021,pretaweb,23,3
2021,tkimnguyen,21,1
2021,serpro,19,1
2021,freitag,19,1
2021,imio,14,2
2021,ku-leuven,13,1
2021,frapell,13,1
2022,kitconcept,2582,15
2022,py76,2365,1
2022,stevepiercy,1073,1
2022,kombinat,829,1
2022,kleinundpartner,658,1
2022,Independent,592,77
2022,syslab,569,4
2022,rohberg,523,1
2022,derico,448,1
2022,starzel,366,1
2022,eau-de-web,289,6
2022,agitator,220,1
2022,freitag,194,1
2022,codesyntax,150,2
2022,redturtle,127,7
2022,affinitic,90,2
2022,salesforce,73,1
2022,nuclia,72,3
2022,university-hospital-dresden,69,1
2022,frapell,58,1
2022,rohnsha0,55,1
2022,pretaweb,42,2
2022,serpro,33,1
2022,imio,31,4
2022,tkimnguyen,22,1
2022,iskra,21,3
2022,university-jyvaskyla,13,1
2022,polyester,13,1
2022,iham,12,1
2022,rpatterson,10,1
2022,macagua,10,1
2022,vangheem,6,1
2022,it-spirit,4,1
2022,interaktiv,4,1
2022,university-tu-munich,4,1
2022,tschorr,3,1
2022,zopyx,2,1
2022,cms-com,1,1
2023,freitag,2065,1
2023,kitconcept,2024,15
2023,py76,1580,1
2023,stevepiercy,710,1
2023,kombinat,595,1
2023,kleinundpartner,373,1
2023,Independent,309,154
2023,codesyntax,203,3
2023,rohberg,192,1
2023,eau-de-web,174,7
2023,derico,154,1
2023,syslab,152,2
2023,redturtle,84,8
2023,nuclia,58,3
2023,starzel,51,2
2023,university-hospital-dresden,37,1
2023,academy-of-fine-arts-vienna,23,1
2023,serpro,16,1
2023,pretaweb,13,3
2023,polyester,13,1
2023,frapell,12,1
2023,tschorr,9,1
2023,iskra,9,2
2023,affinitic,6,1
2023,macagua,4,1
2023,imio,4,2
2023,university-jyvaskyla,3,1
2023,zopyx,3,1
2023,interaktiv,3,1
2023,agitator,2,1
2023,abstract,2,1
2023,university-tu-dresden,1,1
2023,university-tu-munich,1,1
2024,kitconcept,1438,13
2024,py76,1332,1
2024,stevepiercy,826,1
2024,kombinat,641,1
2024,freitag,319,1
2024,kleinundpartner,225,1
2024,university-hospital-dresden,150,1
2024,eau-de-web,116,7
2024,codesyntax,100,2
2024,Independent,93,98
2024,redturtle,91,7
2024,serpro,87,1
2024,derico,82,1
2024,syslab,82,4
2024,starzel,67,2
2024,rohberg,62,1
2024,iskra,48,2
2024,tkimnguyen,45,1
2024,nuclia,43,3
2024,rohnsha0,32,1
2024,zest,27,1
2024,pretaweb,18,3
2024,abstract,12,2
2024,imio,10,2
2024,academy-of-fine-arts-vienna,9,1
2024,nelen-schuurmans,8,1
2024,university-tu-dresden,7,1
2024,macagua,7,1
2024,cosent,4,1
2024,fhnw,3,2
2024,frapell,2,1
2024,tschorr,2,1
2024,affinitic,2,1
2024,polyester,1,1
2024,ku-leuven,1,1
2024,dbain,0,1